title,origin,year,decision,criterio,motivo,decision_final,resolucion
Intergenerational Shifts in Equity Investment Behavior: From Traditional Media to Social Media Among Family Business Investors,Scopus only,2026,INCLUDE,"I1,I2,I3,I4",Examina la influencia social e intergeneracional en decisiones de inversión en renta variable de inversionistas de empresas familiares (I1-I4).,INCLUDE,
The Flow–Performance Relationship and Behavioral Biases: Evidence from Spanish Mutual Fund Flows,Scopus + WoS,2026,INCLUDE,"I1,I2,I3,I4",Explica los flujos de fondos mutuos españoles mediante sesgos conductuales como aversión a la pérdida y seguimiento de tendencia de los inversionistas (I1-I4).,INCLUDE,
Co-movement Between NIFTY Spot and Futures Indices: A Time–Frequency Analysis Using Wavelet,Scopus only,2026,EXCLUDE,E6,Análisis de microestructura de mercado (spillover de volatilidad spot-futuros) sin examinar un constructo conductual del inversionista; la mención de 'horizonte de inversión' es incidental (E6).,EXCLUDE,
Operational Resilience Under Carbon Constraints: A Socio-Technical Multi-Agentic Approach to Global Supply Chains,Scopus only,2026,EXCLUDE,E6,"Marco multiagente sobre resiliencia de cadenas de suministro y cómputo de IA bajo restricciones de carbono, sin relación con inversionistas ni decisiones de inversión (E6).",EXCLUDE,
Unit-level stranded asset of coal power under low-carbon transition pathways toward China's carbon neutrality,Scopus only,2026,EXCLUDE,E2,"Modelación financiera de activos varados de centrales de carbón bajo transición energética a nivel de sistema, sin ángulo conductual del inversionista individual (E2).",EXCLUDE,
How trading shocks shape risk preferences: nonlinear evidence from retail forex traders,Scopus + WoS,2026,INCLUDE,"I1,I2,I3,I4",Analiza cómo shocks de trading modifican las preferencias de riesgo (aversión/búsqueda de riesgo) de traders minoristas de forex (I1-I4).,INCLUDE,
AI governance after MiFID II: beyond (mere) technological neutrality?,Scopus only,2026,EXCLUDE,E6,Análisis jurídico-regulatorio de la gobernanza de IA financiera bajo MiFID II; no examina el comportamiento conductual de riesgo del inversionista individual (E6).,EXCLUDE,
How you measure transition risk matters: comparing and evaluating climate transition risk metrics,Scopus + WoS,2026,EXCLUDE,E2,"Compara métricas de riesgo de transición climática a nivel de firmas/portafolios agregados, sin ángulo de comportamiento del inversionista individual (E2).",EXCLUDE,
Investment Risk Appetite (IRA): Scale Development and Validation,Scopus only,2026,INCLUDE,"I1,I2,I3,I4",Desarrolla y valida una escala de apetito de riesgo de inversión (tolerancia y aversión al riesgo) aplicable a inversionistas (I1-I4).,INCLUDE,
Adaptability factors and behavioral biases of investors in frontier markets: An adaptive market hypothesis perspective,Scopus only,2026,INCLUDE,"I1,I2,I3,I4",Examina cómo factores de adaptabilidad influyen en manada y exceso de confianza de inversionistas minoristas en un mercado frontera (I1-I4).,INCLUDE,
Loss aversion in investment: A bibliometric and network visualization analysis,Scopus + WoS,2026,INCLUDE,"I1,I2,I3,I4",Análisis bibliométrico que sintetiza la literatura teórica y empírica sobre aversión a la pérdida en inversión (I1-I4).,INCLUDE,
Portfolio Selection Based on Time–Frequency Connectedness: Evidence from GCC Sectoral Stock Markets and the Oil Market,Scopus + WoS,2026,EXCLUDE,E6,"Estrategias cuantitativas de selección de cartera basadas en conectividad tiempo-frecuencia; el 'horizonte de inversión' se usa como propiedad de la cartera, no como constructo conductual estudiado (E6).",EXCLUDE,
"Bitcoin and Gold Causality Across Quantiles, Frequencies, and Market Regimes",Scopus only,2026,EXCLUDE,E6,"Análisis econométrico de causalidad Bitcoin-oro por cuantiles y horizontes de inversión, sin examinar comportamiento conductual del inversionista (E6).",EXCLUDE,
"SUSTAINABILITY, ETHICAL CAPITAL, AND INVESTMENT BEHAVIOUR: EMPIRICAL EVIDENCE FROM ESG MUTUAL FUND PREFERENCES IN CULTURAL AND CREATIVE INDUSTRIES",Scopus only,2026,INCLUDE,"I1,I2,I3,I4",Modelo conductual de tolerancia al riesgo y percepción ética que explica la preferencia de inversionistas minoristas e institucionales por fondos ESG (I1-I4).,INCLUDE,
How information overload and heuristics shape digital investment decisions,Scopus only,2026,INCLUDE,"I1,I2,I3,I4","Examina cómo la sobrecarga de información, la heurística y la percepción de riesgo afectan decisiones de inversión digital de inversionistas minoristas (I1-I4).",INCLUDE,
How Framing Susceptibility Is Associated with Investment Grip: Evidence from Japanese Retail Investors,Scopus + WoS,2026,INCLUDE,"I1,I2,I3,I4","Analiza tolerancia a la pérdida, encuadre (framing) y regulación emocional en el compromiso inversor de minoristas japoneses (I1-I4).",INCLUDE,
A Personalized Investment Advisory System Using Large Language Models: Evidence from Vietnam’s Stock Market,Scopus only,2026,UNCERTAIN,AMBIGUO,"El 'perfil de riesgo del inversionista' se menciona solo como insumo del sistema de recomendación de IA, sin ser el constructo central estudiado; inclusión marginal y discutible (AMBIGUO).",EXCLUDE,"Excluido por decision explicita del autor de la tesis (2026-08-16): ante la duda sobre ajuste con los criterios de poblacion/constructo/activo, se opta por excluir por precaucion. Registro identificado queda disponible para reconsideracion en fases posteriores si se requiere."
Managerial climate risk perception bias and corporate investment inefficiency: Evidence from Chinese listed firms,Scopus + WoS,2026,EXCLUDE,E4,"Estudia el sesgo de percepción de riesgo climático de gerentes corporativos y su efecto en la ineficiencia de la inversión de la firma, no en inversionistas individuales (E4).",EXCLUDE,
Portfolio Construction Under Behavioral Distortions and Narrow Framing: A Machine Learning Approach,Scopus + WoS,2026,INCLUDE,"I1,I2,I3,I4","Modela construcción de carteras bajo distorsiones conductuales (teoría de las perspectivas, encuadre estrecho) de distintos tipos de inversionistas sobre activos tradicionales y cripto (I1-I4).",INCLUDE,
Do match surprises move fan token prices? Evidence from UEFA competitions,Scopus + WoS,2026,INCLUDE,"I1,I2,I3,I4","Evidencia asimetría consistente con aversión a la pérdida en la reacción de precios de fan tokens, con implicaciones para inversionistas minoristas (I1-I4).",INCLUDE,
Global Attention and Market Resilience: Evidence from the Gaza Conflict and Israeli Financial Assets,Scopus + WoS,2026,INCLUDE,"I1,I2,I3,I4",Vincula la percepción de riesgo del inversionista y la atención pública (proxy conductual) con el comportamiento de activos financieros israelíes durante un conflicto geopolítico (I1-I4).,INCLUDE,
Seismic Exposure Modelling of the Romanian Residential Building Stock for (Re)Insurance Applications,Scopus only,2026,EXCLUDE,"E1,E5","Modelo de exposición sísmica del parque residencial rumano para aplicaciones de (re)seguro; riesgo de infraestructura física/actuarial sin ángulo conductual del inversionista (E1, E5).",EXCLUDE,
Exploring the role of simulated learning on portfolio management: enhancing investment decisions by addressing behavioural biases,Scopus only,2026,INCLUDE,"I1,I2,I3,I4","Evalúa experimentalmente cómo el aprendizaje simulado reduce sesgos conductuales (exceso de confianza, aversión a la pérdida, manada) en la gestión de carteras (I1-I4).",INCLUDE,
Role of artificial intelligence (AI) in strengthening impact of behavioral factors on investment decision process of IT/ITES employee towards behavioral finance,Scopus only,2026,INCLUDE,"I1,I2,I3,I4","Examina cómo la IA modera el efecto de sesgos conductuales (heurísticas, manada) sobre el proceso de decisión de inversión de empleados individuales (I1-I4).",INCLUDE,
Role of artificial intelligence in understanding psychological influences on investment decisions: A behavioral finance study among IT/ITES employees,Scopus only,2026,INCLUDE,"I1,I2,I3,I4","Estudia empíricamente influencias psicológicas (manada, aversión a la pérdida, confianza) sobre decisiones de inversión de empleados individuales (I1-I4).",INCLUDE,
AI-Based Fintech Recommendation System for Personalized Mutual Fund Investments,Scopus only,2026,UNCERTAIN,AMBIGUO,"Sistema de recomendación de fondos mutuos que menciona 'evaluación dinámica de riesgo' como característica técnica, sin desarrollar ni medir un constructo conductual de riesgo del inversionista (AMBIGUO).",EXCLUDE,"Excluido por decision explicita del autor de la tesis (2026-08-16): ante la duda sobre ajuste con los criterios de poblacion/constructo/activo, se opta por excluir por precaucion. Registro identificado queda disponible para reconsideracion en fases posteriores si se requiere."
An AI-Driven Financial Advisory System with Dynamic Risk Profiling,Scopus only,2026,INCLUDE,"I1,I2,I3,I4",Sistema de IA que perfila el riesgo del inversionista individual combinando datos demográficos y conductuales para asesoría de inversión (I1-I4).,INCLUDE,
Transformer-Based Time Series Forecasting for Credit Limit Utilization and Risk Profiling in Retail Lending,Scopus + WoS,2026,EXCLUDE,E6,"Perfilamiento de riesgo crediticio de prestatarios en préstamos minoristas mediante pronóstico de utilización de límite de crédito; población de prestatarios, no de inversionistas (E6).",EXCLUDE,
The role of behavioral biases in shaping investment decisions: an empirical analysis of the Indian investors,Scopus only,2026,INCLUDE,"I1,I2,I3,I4","Analiza el efecto de nueve sesgos conductuales (manada, exceso de confianza, aversión a la pérdida, contabilidad mental, etc.) en decisiones de inversión de inversionistas minoristas indios (I1-I4).",INCLUDE,
"Investors’ Emotional Intelligence, Personality Traits, and Risk Tolerance: A Measure of Investment Decisions",Scopus only,2026,INCLUDE,"I1,I2,I3,I4","Examina inteligencia emocional, rasgos de personalidad y tolerancia al riesgo como determinantes de decisiones de inversión individuales (I1-I4).",INCLUDE,
Integrating AI and OR for investment decision-making in emerging digital lending businesses: a risk-return multi-objective optimization approach,Scopus only,2026,EXCLUDE,E6,"Optimización cuantitativa riesgo-retorno de inversión en préstamos P2P mediante IA/OR, sin examinar ningún constructo conductual del inversionista (E6).",EXCLUDE,
Emotional Biases and Their Impact on Investment Decisions: A Behavioral Finance Perspective,Scopus only,2026,INCLUDE,"I1,I2,I3,I4","Síntesis teórica sobre sesgos emocionales (aversión a la pérdida, exceso de confianza, aversión al arrepentimiento, manada) y su impacto en decisiones de inversión (I1-I4).",INCLUDE,
Machine Learning Modelling of Digitalization in Gen Z Decisions: Financial Literacy and Risk Tolerance,Scopus only,2026,INCLUDE,"I1,I2,I3,I4",Modela con machine learning cómo la alfabetización financiera digital y la tolerancia al riesgo median el efecto de la digitalización en decisiones de inversión de la Generación Z (I1-I4).,INCLUDE,
Behavioral Financial Engineering: A Data-Driven Application of Cumulative Prospect Theory to Property Sector Portfolio Optimization,Scopus only,2026,INCLUDE,"I1,I2,I3,I4",Aplica la teoría de las perspectivas (CPT) para modelar la percepción de riesgo de inversionistas en la optimización de carteras accionarias del sector inmobiliario filipino (I1-I4).,INCLUDE,
Behavioral Biases in Financial Markets: Understanding the Impact of Cognitive Heuristic-Driven Biases and Emotional Biases in Shaping Investment Decisions,Scopus only,2026,INCLUDE,"I1,I2,I3,I4","Revisión teórica de sesgos heurístico-cognitivos y emocionales (efecto disposición, aversión a la pérdida, percepción de riesgo, contabilidad mental) en decisiones de inversión (I1-I4).",INCLUDE,
The brain behind the portfolio: the neurological foundations of investment decisions,Scopus + WoS,2026,INCLUDE,"I1,I2,I3,I4","Estudio de neurofinanzas con EEG que vincula actividad neuronal con sesgos conductuales (aversión al riesgo, exceso de confianza) en inversionistas minoristas durante trading (I1-I4).",INCLUDE,
Robo-Advisors in Investment Decision-Making: An Empirical Investigation of Behavioral Biases,Scopus only,2026,INCLUDE,"I1,I2,I3,I4","Examina empíricamente cómo los robo-advisors interactúan con sesgos conductuales (aversión a la pérdida, exceso de confianza) en decisiones de inversión (I1-I4).",INCLUDE,
Antecedents of investment decisions among retail investors: Mediating risk perception and moderating investment horizon,Scopus only,2026,INCLUDE,"I1,I2,I3,I4",Examina antecedentes de decisiones de inversión de minoristas tailandeses con percepción de riesgo como mediadora y horizonte de inversión como moderador (I1-I4).,INCLUDE,
AI-Based Predictive Modelling of Digitalization Effects on Investment Decisions of Gen Z Investors,Scopus only,2026,INCLUDE,"I1,I2,I3,I4",Modelo predictivo de IA sobre cómo la digitalización afecta percepción de riesgo y manada en decisiones de inversión de inversionistas Gen Z (I1-I4).,INCLUDE,
Digital Transformation in Wealth Management: Exploring How Robo-Advisors Moderate Behavioral Biases and Shape Investment Decisions,Scopus only,2026,INCLUDE,"I1,I2,I3,I4","Analiza cómo los robo-advisors atenúan sesgos conductuales (exceso de confianza, manada, aversión a la pérdida) en la toma de decisiones de inversión (I1-I4).",INCLUDE,
Deciphering risk and behavioural biases in investment decision-making,Scopus only,2026,INCLUDE,"I1,I2,I3,I4","Desarrolla un modelo integral de la relación entre sesgos conductuales (exceso de confianza, anclaje, manada, aversión a la pérdida) y tolerancia al riesgo en decisiones de inversión (I1-I4).",INCLUDE,
Behavioral Biases in Investment Decisions,Scopus only,2026,INCLUDE,"I1,I2,I3,I4","Examina el origen neurocognitivo de sesgos conductuales (aversión a la pérdida, manada, exceso de confianza) en decisiones de inversión (I1-I4).",INCLUDE,
Fuzzy Logic in Economics: A Model for Risk Assessment and Decision-Making,Scopus only,2026,EXCLUDE,E6,"Modelo de lógica difusa para evaluación de riesgo económico basado en variables financieras objetivas (volatilidad, liquidez, apalancamiento), sin examinar comportamiento del inversionista (E6).",EXCLUDE,
From Rationality to Reality: Taxonomy of Biases and Mitigation Strategies for Investors,Scopus only,2026,INCLUDE,"I1,I2,I3,I4","Propone una taxonomía de sesgos conductuales (heurísticas, autoengaño, sesgos emocionales, influencia social) y estrategias de mitigación para inversionistas (I1-I4).",INCLUDE,
AI Supported WealthTech Solutions for Personalized Financial Planning and Investment Decisions,Scopus only,2026,INCLUDE,"I1,I2,I3,I4",Segmenta inversionistas individuales por tolerancia al riesgo y tendencias conductuales mediante clustering para planeación financiera personalizada con IA (I1-I4).,INCLUDE,
"The Interplay Between Behavioral Finance and Environmental, Social, and Governance (ESG) Investment Decisions: Evidence From Chinese Listed Firms",Scopus + WoS,2026,UNCERTAIN,AMBIGUO,"Estudia sesgos conductuales (manada inducida por política, aversión a la pérdida) en decisiones ESG de gestores de fondos profesionales; población institucional, no individual/minorista (AMBIGUO).",EXCLUDE,"Excluido por decision explicita del autor de la tesis (2026-08-16): ante la duda sobre ajuste con los criterios de poblacion/constructo/activo, se opta por excluir por precaucion. Registro identificado queda disponible para reconsideracion en fases posteriores si se requiere."
The Psychology of Investing: Case Studies in Behavioral Finance,Scopus only,2026,INCLUDE,"I1,I2,I3,I4","Casos de estudio sobre sesgos conductuales (exceso de confianza, sesgo de confirmación, aversión a la pérdida, manada, contabilidad mental) en la psicología de la inversión (I1-I4).",INCLUDE,
"Analyzing the Investors Perception, Knowledge and Factors on Equity Fund in Stock Market Investment",Scopus only,2026,INCLUDE,"I1,I2,I3,I4","Examina percepción de riesgo, conocimiento y factores demográficos en decisiones de inversión en fondos de renta variable de inversionistas minoristas (I1-I4).",INCLUDE,
Non-home biased individuals' investment choices: the role of the birthplace of investors,Scopus + WoS,2026,INCLUDE,"I1,I2,I3,I4",Estudia inversionistas individuales italianos y su tolerancia al riesgo y sesgo doméstico en la asignación de activos financieros extranjeros.,INCLUDE,
Examining Diverse Factors Influencing Stock Market Investments of the Investors in South India,Scopus only,2026,INCLUDE,"I1,I2,I3,I4","Analiza percepción de riesgo, tolerancia al riesgo y factores psicológicos de inversionistas minoristas en su decisión de inversión bursátil.",INCLUDE,
Understanding the disposition effect: a phenomenological study of investor experiences in Nepal,Scopus + WoS,2026,INCLUDE,"I1,I2,I3,I4","Examina el efecto disposición, aversión a la pérdida, anclaje y exceso de confianza en inversionistas minoristas del mercado nepalí.",INCLUDE,
Business Leadership and Behavioral Economics: A Quantitative Assessment of Cognitive and Emotional Biases among Investors,Scopus only,2026,INCLUDE,"I1,I2,I3,I4","Cuantifica sesgos cognitivos y emocionales (framing, exceso de confianza, aversión a la pérdida) en inversionistas individuales tunecinos.",INCLUDE,
Impact of Investor Trust and Risk Perception on Mutual Fund Investment Intentions: The Mediating Role of Financial Literacy,Scopus only,2026,INCLUDE,"I1,I2,I3,I4",Investiga percepción de riesgo de inversionistas individuales y su efecto en la intención de inversión en fondos mutuos.,INCLUDE,
ESG Investing and its Impact on Risk-Adjusted Portfolio Returns from a Behavioral Finance Perspective Using SEM,Scopus only,2026,INCLUDE,"I1,I2,I3,I4","Modela cómo exceso de confianza, percepción de riesgo y comportamiento de manada de los inversionistas median el desempeño de portafolios ESG.",INCLUDE,
Exploring the Landscape of Behavioral Finance: A Review,Scopus only,2026,INCLUDE,"I1,I2,I3,I4","Revisión que sintetiza evidencia sobre sesgos conductuales del inversionista (exceso de confianza, manada, anclaje, aversión a la pérdida).",INCLUDE,
"Behavioral personae, narrow framing, and stochastic dominance in the cryptocurrency market",Scopus + WoS,2026,INCLUDE,"I1,I2,I3,I4","Modela arquetipos de inversionistas conductuales (teoría de las perspectivas, aversión a la pérdida) en decisiones de portafolio con criptoactivos.",INCLUDE,
When Confidence and Knowledge Diverge: Investor Calibration and Portfolio Behavior,Scopus + WoS,2026,INCLUDE,"I1,I2,I3,I4",Analiza cómo la calibración entre confianza y conocimiento financiero se asocia con tolerancia al riesgo y comportamiento de portafolio de los hogares.,INCLUDE,
Masculinity and Financial Behavior: Understanding Biases and Empowering Resilience,Scopus only,2026,INCLUDE,"I1,I2,I3,I4","Revisión sistemática sobre exceso de confianza, aversión a la pérdida y contabilidad mental en la toma de riesgo de inversionistas hombres.",INCLUDE,
Analysis of Islamic Unit Trust Funds Investors in Malaysia using the Kohonen self-organizing maps,Scopus + WoS,2026,INCLUDE,"I1,I2,I3,I4",Construye una segmentación/taxonomía de inversionistas minoristas malasios según apetito de riesgo y percepción de riesgo en fondos islámicos.,INCLUDE,
Investor Behavior and Renewable Energy Project Financing: Behavioral and Institutional Insights from Morocco,Scopus only,2026,UNCERTAIN,AMBIGUO,Mezcla percepción de riesgo conductual con financiamiento de proyectos de energía renovable y población mixta institucional/privada sin distinguir claramente activos financieros de proyectos físicos.,EXCLUDE,"Excluido por decision explicita del autor de la tesis (2026-08-16): ante la duda sobre ajuste con los criterios de poblacion/constructo/activo, se opta por excluir por precaucion. Registro identificado queda disponible para reconsideracion en fases posteriores si se requiere."
Gender and the Brain on Finance: Are Men and Women Wired for Different Risks?,Scopus only,2026,INCLUDE,"I1,I2,I3,I4",Capítulo teórico sobre percepción de riesgo y diferencias de género en la toma de decisiones financieras de los inversionistas.,INCLUDE,
FROM NEWS TO CHARTS: RETHINKING MARKET PREDICTION WITH MULTIMODAL AI | OD VIJESTI DO GRAFIKONA: PONOVNO PROMIŠLJANJE PREDVIĐANJA TRŽIŠTA S MULTIMODALNOM UMJETNOM INTELIGENCIJOM,Scopus only,2026,EXCLUDE,E6,"El aporte sustantivo es un modelo de IA multimodal para predicción de mercado; los sesgos conductuales solo se mencionan como interpretación, sin evidencia propia sobre riesgo conductual del inversionista.",EXCLUDE,
"Financial Reporting, Investor Psychology and the Role of Data Governance in Equity Markets",Scopus only,2026,INCLUDE,"I1,I2,I3,I4","Examina sesgos conductuales (anclaje, aversión a la pérdida, manada, exceso de confianza) de inversionistas en mercados accionarios y su relación con la información financiera.",INCLUDE,
Financing green innovation startups: a systematic literature review on early-stage SME funding,Scopus only,2026,EXCLUDE,E4,"Se centra en el ecosistema de financiamiento de capital de riesgo/institucional a startups, sin ángulo de riesgo conductual del inversionista individual.",EXCLUDE,
Agent-Based Simulation of a Financial Market with Large Language Models,Scopus only,2026,INCLUDE,"I1,I2,I3,I4",Utiliza la aversión a la pérdida y el anclaje a precios de referencia como mecanismo conductual central para explicar la dependencia de trayectoria en decisiones de inversión.,INCLUDE,
"Decoding investor behavior in the age of financial AI: integrating cognitive, emotional, and social drivers of adoption and resistance in India",Scopus + WoS,2026,EXCLUDE,E6,"El foco es la adopción tecnológica de IA por parte de inversionistas (aceptación/resistencia), no un constructo de riesgo conductual de la decisión de inversión.",EXCLUDE,"Validacion por muestreo (2026-08-16): segunda pasada IA independiente (ciega) decidio 'UNCERTAIN' (discrepancia con la clasificacion original 'EXCLUDE'). Motivo de la segunda pasada: Estudia drivers cognitivos, emocionales y sociales de adopción/resistencia a IA en gestión de portafolios, pero no queda claro si el foco principal es la aceptación tecnológica o el riesgo conductual del inversionista. Resuelto EXCLUDE aplicando la misma regla de precaucion del autor (ante desacuerdo/duda entre revisores, excluir)."
Crypto Investment Trends in the Digital Age: The Impact of Online Information on Risk Perception,Scopus only,2026,INCLUDE,"I1,I2,I3,I4",Analiza percepción de riesgo y alfabetización financiera de inversionistas minoristas de criptoactivos influidos por información en línea.,INCLUDE,
COVID-19 pandemic and analysts’ stock recommendation: an empirical analysis of citywide static management in Shanghai,Scopus + WoS,2026,EXCLUDE,I1,"La población son analistas financieros que emiten recomendaciones, no inversionistas individuales tomando decisiones de inversión propias.",EXCLUDE,
"Navigating crypto markets: financial literacy, behavior and information channels",Scopus + WoS,2026,INCLUDE,"I1,I2,I3,I4","Examina tolerancia al riesgo, exceso de confianza y alfabetización financiera como determinantes de la tenencia de Bitcoin por individuos.",INCLUDE,
Market Regime Forecasting Across Horizons: When Transition Detection Matters More Than Accuracy,Scopus only,2026,EXCLUDE,E6,"Es un estudio metodológico de pronóstico de regímenes de mercado con modelos estadísticos, sin constructo de riesgo conductual del inversionista.",EXCLUDE,
Dynamic q-dependent cross-correlation test for investment classification and its application on green finance,Scopus only,2026,EXCLUDE,E6,Desarrolla una prueba econométrica de correlación cruzada para clasificar activos; no examina comportamiento ni riesgo conductual del inversionista.,EXCLUDE,
Climate Risk Modeling in the Digital Age: New Approaches for Financial Institutions,Scopus only,2026,EXCLUDE,E4,"Aborda la gestión institucional del riesgo climático por parte de instituciones financieras, sin ángulo de comportamiento del inversionista individual.",EXCLUDE,
Phenomenological Semantic Factor Method for Risk Management of Complex Systems in Drifting,Scopus only,2026,EXCLUDE,E1,"Propone un método de gestión de riesgo para sistemas complejos e infraestructura crítica, sin relación con inversionistas ni decisiones de inversión.",EXCLUDE,
The risk quadrangle in optimization: An overview with recent results and extensions,Scopus only,2026,EXCLUDE,E6,Es un desarrollo teórico de optimización estocástica y funcionales de riesgo; no trata riesgo conductual ni comportamiento de inversionistas.,EXCLUDE,
